group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,bb8,pool=04 worker=64,,,1165081.0,ns,9
core,bb8,pool=04 worker=64,,,2776792.0,ns,18
core,bb8,pool=04 worker=64,,,3046511.0,ns,27
core,bb8,pool=04 worker=64,,,4110384.0,ns,36
core,bb8,pool=04 worker=64,,,5188959.0,ns,45
core,bb8,pool=04 worker=64,,,5667392.0,ns,54
core,bb8,pool=04 worker=64,,,7197498.0,ns,63
core,bb8,pool=04 worker=64,,,7331807.0,ns,72
core,bb8,pool=04 worker=64,,,8889715.0,ns,81
core,bb8,pool=04 worker=64,,,10164904.0,ns,90
core,bb8,pool=04 worker=64,,,10504527.0,ns,99
core,bb8,pool=04 worker=64,,,11702810.0,ns,108
core,bb8,pool=04 worker=64,,,12433360.0,ns,117
core,bb8,pool=04 worker=64,,,13962067.0,ns,126
core,bb8,pool=04 worker=64,,,15071944.0,ns,135
core,bb8,pool=04 worker=64,,,15104246.0,ns,144
core,bb8,pool=04 worker=64,,,16761360.0,ns,153
core,bb8,pool=04 worker=64,,,16759160.0,ns,162
core,bb8,pool=04 worker=64,,,18752698.0,ns,171
core,bb8,pool=04 worker=64,,,20702133.0,ns,180
core,bb8,pool=04 worker=64,,,20695732.0,ns,189
core,bb8,pool=04 worker=64,,,22580463.0,ns,198
core,bb8,pool=04 worker=64,,,24070066.0,ns,207
core,bb8,pool=04 worker=64,,,23246909.0,ns,216
core,bb8,pool=04 worker=64,,,24206076.0,ns,225
core,bb8,pool=04 worker=64,,,23650037.0,ns,234
core,bb8,pool=04 worker=64,,,24810518.0,ns,243
core,bb8,pool=04 worker=64,,,29322529.0,ns,252
core,bb8,pool=04 worker=64,,,27906532.0,ns,261
core,bb8,pool=04 worker=64,,,28139548.0,ns,270
core,bb8,pool=04 worker=64,,,30196190.0,ns,279
core,bb8,pool=04 worker=64,,,29427037.0,ns,288
core,bb8,pool=04 worker=64,,,34043356.0,ns,297
core,bb8,pool=04 worker=64,,,30359701.0,ns,306
core,bb8,pool=04 worker=64,,,31945512.0,ns,315
core,bb8,pool=04 worker=64,,,35028625.0,ns,324
core,bb8,pool=04 worker=64,,,36113800.0,ns,333
core,bb8,pool=04 worker=64,,,35952288.0,ns,342
core,bb8,pool=04 worker=64,,,36605234.0,ns,351
core,bb8,pool=04 worker=64,,,39731850.0,ns,360
core,bb8,pool=04 worker=64,,,37654107.0,ns,369
core,bb8,pool=04 worker=64,,,46025186.0,ns,378
core,bb8,pool=04 worker=64,,,40351693.0,ns,387
core,bb8,pool=04 worker=64,,,43034178.0,ns,396
core,bb8,pool=04 worker=64,,,43613519.0,ns,405
core,bb8,pool=04 worker=64,,,44056049.0,ns,414
core,bb8,pool=04 worker=64,,,44221661.0,ns,423
core,bb8,pool=04 worker=64,,,44475478.0,ns,432
core,bb8,pool=04 worker=64,,,48080228.0,ns,441
core,bb8,pool=04 worker=64,,,45753167.0,ns,450
core,bb8,pool=04 worker=64,,,50159272.0,ns,459
core,bb8,pool=04 worker=64,,,49297312.0,ns,468
core,bb8,pool=04 worker=64,,,47965420.0,ns,477
core,bb8,pool=04 worker=64,,,52824657.0,ns,486
core,bb8,pool=04 worker=64,,,49724142.0,ns,495
core,bb8,pool=04 worker=64,,,51741082.0,ns,504
core,bb8,pool=04 worker=64,,,56283496.0,ns,513
core,bb8,pool=04 worker=64,,,57488279.0,ns,522
core,bb8,pool=04 worker=64,,,54214953.0,ns,531
core,bb8,pool=04 worker=64,,,57018647.0,ns,540
core,bb8,pool=04 worker=64,,,59478517.0,ns,549
core,bb8,pool=04 worker=64,,,62313213.0,ns,558
core,bb8,pool=04 worker=64,,,60535390.0,ns,567
core,bb8,pool=04 worker=64,,,62068596.0,ns,576
core,bb8,pool=04 worker=64,,,59000684.0,ns,585
core,bb8,pool=04 worker=64,,,62633035.0,ns,594
core,bb8,pool=04 worker=64,,,77000430.0,ns,603
core,bb8,pool=04 worker=64,,,79764421.0,ns,612
core,bb8,pool=04 worker=64,,,71111922.0,ns,621
core,bb8,pool=04 worker=64,,,68691055.0,ns,630
core,bb8,pool=04 worker=64,,,73009254.0,ns,639
core,bb8,pool=04 worker=64,,,73218969.0,ns,648
core,bb8,pool=04 worker=64,,,73731303.0,ns,657
core,bb8,pool=04 worker=64,,,71959381.0,ns,666
core,bb8,pool=04 worker=64,,,73489087.0,ns,675
core,bb8,pool=04 worker=64,,,77466262.0,ns,684
core,bb8,pool=04 worker=64,,,74637466.0,ns,693
core,bb8,pool=04 worker=64,,,75314513.0,ns,702
core,bb8,pool=04 worker=64,,,78081205.0,ns,711
core,bb8,pool=04 worker=64,,,81611149.0,ns,720
core,bb8,pool=04 worker=64,,,83330669.0,ns,729
core,bb8,pool=04 worker=64,,,82159187.0,ns,738
core,bb8,pool=04 worker=64,,,90197543.0,ns,747
core,bb8,pool=04 worker=64,,,85344907.0,ns,756
core,bb8,pool=04 worker=64,,,84614057.0,ns,765
core,bb8,pool=04 worker=64,,,86781107.0,ns,774
core,bb8,pool=04 worker=64,,,84923579.0,ns,783
core,bb8,pool=04 worker=64,,,83641589.0,ns,792
core,bb8,pool=04 worker=64,,,86123561.0,ns,801
core,bb8,pool=04 worker=64,,,89025862.0,ns,810
core,bb8,pool=04 worker=64,,,102541498.0,ns,819
core,bb8,pool=04 worker=64,,,89938226.0,ns,828
core,bb8,pool=04 worker=64,,,93941902.0,ns,837
core,bb8,pool=04 worker=64,,,94597948.0,ns,846
core,bb8,pool=04 worker=64,,,92376294.0,ns,855
core,bb8,pool=04 worker=64,,,92733319.0,ns,864
core,bb8,pool=04 worker=64,,,88020192.0,ns,873
core,bb8,pool=04 worker=64,,,95435406.0,ns,882
core,bb8,pool=04 worker=64,,,90906593.0,ns,891
core,bb8,pool=04 worker=64,,,94571746.0,ns,900
