group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,bb8,pool=08 worker=64,,,32286379.0,ns,3
core,bb8,pool=08 worker=64,,,28283632.0,ns,3
core,bb8,pool=08 worker=64,,,27955427.0,ns,3
core,bb8,pool=08 worker=64,,,28018128.0,ns,3
core,bb8,pool=08 worker=64,,,29743649.0,ns,3
core,bb8,pool=08 worker=64,,,27528723.0,ns,3
core,bb8,pool=08 worker=64,,,27118118.0,ns,3
core,bb8,pool=08 worker=64,,,28377433.0,ns,3
core,bb8,pool=08 worker=64,,,28136230.0,ns,3
core,bb8,pool=08 worker=64,,,28999040.0,ns,3
core,bb8,pool=08 worker=64,,,28637736.0,ns,3
core,bb8,pool=08 worker=64,,,28364233.0,ns,3
core,bb8,pool=08 worker=64,,,28545234.0,ns,3
core,bb8,pool=08 worker=64,,,28553035.0,ns,3
core,bb8,pool=08 worker=64,,,27652225.0,ns,3
core,bb8,pool=08 worker=64,,,27476022.0,ns,3
core,bb8,pool=08 worker=64,,,28350791.0,ns,3
core,bb8,pool=08 worker=64,,,29097298.0,ns,3
core,bb8,pool=08 worker=64,,,28662893.0,ns,3
core,bb8,pool=08 worker=64,,,27077677.0,ns,3
core,bb8,pool=08 worker=64,,,28379790.0,ns,3
core,bb8,pool=08 worker=64,,,28493291.0,ns,3
core,bb8,pool=08 worker=64,,,29028296.0,ns,3
core,bb8,pool=08 worker=64,,,28730994.0,ns,3
core,bb8,pool=08 worker=64,,,28990596.0,ns,3
core,bb8,pool=08 worker=64,,,28782595.0,ns,3
core,bb8,pool=08 worker=64,,,28392190.0,ns,3
core,bb8,pool=08 worker=64,,,28515192.0,ns,3
core,bb8,pool=08 worker=64,,,28302690.0,ns,3
core,bb8,pool=08 worker=64,,,28446791.0,ns,3
core,bb8,pool=08 worker=64,,,28445091.0,ns,3
core,bb8,pool=08 worker=64,,,28828095.0,ns,3
core,bb8,pool=08 worker=64,,,28704093.0,ns,3
core,bb8,pool=08 worker=64,,,28697093.0,ns,3
core,bb8,pool=08 worker=64,,,28949996.0,ns,3
core,bb8,pool=08 worker=64,,,28684493.0,ns,3
core,bb8,pool=08 worker=64,,,29142998.0,ns,3
core,bb8,pool=08 worker=64,,,28659693.0,ns,3
core,bb8,pool=08 worker=64,,,28320990.0,ns,3
core,bb8,pool=08 worker=64,,,28601693.0,ns,3
core,bb8,pool=08 worker=64,,,28600492.0,ns,3
core,bb8,pool=08 worker=64,,,28154388.0,ns,3
core,bb8,pool=08 worker=64,,,29679504.0,ns,3
core,bb8,pool=08 worker=64,,,28582093.0,ns,3
core,bb8,pool=08 worker=64,,,28903396.0,ns,3
core,bb8,pool=08 worker=64,,,28873195.0,ns,3
core,bb8,pool=08 worker=64,,,29242799.0,ns,3
core,bb8,pool=08 worker=64,,,28975997.0,ns,3
core,bb8,pool=08 worker=64,,,28602592.0,ns,3
core,bb8,pool=08 worker=64,,,28280689.0,ns,3
