group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,deadpool,pool=08 worker=01,,,622943.0,ns,38
core,deadpool,pool=08 worker=01,,,1130578.0,ns,76
core,deadpool,pool=08 worker=01,,,1845827.0,ns,114
core,deadpool,pool=08 worker=01,,,2699487.0,ns,152
core,deadpool,pool=08 worker=01,,,3314829.0,ns,190
core,deadpool,pool=08 worker=01,,,3803363.0,ns,228
core,deadpool,pool=08 worker=01,,,4402904.0,ns,266
core,deadpool,pool=08 worker=01,,,5127754.0,ns,304
core,deadpool,pool=08 worker=01,,,6459046.0,ns,342
core,deadpool,pool=08 worker=01,,,7008084.0,ns,380
core,deadpool,pool=08 worker=01,,,7579223.0,ns,418
core,deadpool,pool=08 worker=01,,,8081859.0,ns,456
core,deadpool,pool=08 worker=01,,,8904915.0,ns,494
core,deadpool,pool=08 worker=01,,,9686269.0,ns,532
core,deadpool,pool=08 worker=01,,,10031793.0,ns,570
core,deadpool,pool=08 worker=01,,,10546529.0,ns,608
core,deadpool,pool=08 worker=01,,,11924724.0,ns,646
core,deadpool,pool=08 worker=01,,,11811516.0,ns,684
core,deadpool,pool=08 worker=01,,,13593939.0,ns,722
core,deadpool,pool=08 worker=01,,,13547736.0,ns,760
core,deadpool,pool=08 worker=01,,,15397764.0,ns,798
core,deadpool,pool=08 worker=01,,,26532932.0,ns,836
core,deadpool,pool=08 worker=01,,,12786683.0,ns,874
core,deadpool,pool=08 worker=01,,,18113951.0,ns,912
core,deadpool,pool=08 worker=01,,,15827293.0,ns,950
core,deadpool,pool=08 worker=01,,,18068548.0,ns,988
core,deadpool,pool=08 worker=01,,,20356206.0,ns,1026
core,deadpool,pool=08 worker=01,,,23102895.0,ns,1064
core,deadpool,pool=08 worker=01,,,25391553.0,ns,1102
core,deadpool,pool=08 worker=01,,,20235197.0,ns,1140
core,deadpool,pool=08 worker=01,,,20445112.0,ns,1178
core,deadpool,pool=08 worker=01,,,24518893.0,ns,1216
core,deadpool,pool=08 worker=01,,,29338326.0,ns,1254
core,deadpool,pool=08 worker=01,,,29435533.0,ns,1292
core,deadpool,pool=08 worker=01,,,22958686.0,ns,1330
core,deadpool,pool=08 worker=01,,,33583219.0,ns,1368
core,deadpool,pool=08 worker=01,,,36044390.0,ns,1406
core,deadpool,pool=08 worker=01,,,25818984.0,ns,1444
core,deadpool,pool=08 worker=01,,,28313756.0,ns,1482
core,deadpool,pool=08 worker=01,,,36901949.0,ns,1520
core,deadpool,pool=08 worker=01,,,26370321.0,ns,1558
core,deadpool,pool=08 worker=01,,,30597714.0,ns,1596
core,deadpool,pool=08 worker=01,,,37069761.0,ns,1634
core,deadpool,pool=08 worker=01,,,53615003.0,ns,1672
core,deadpool,pool=08 worker=01,,,45100215.0,ns,1710
core,deadpool,pool=08 worker=01,,,33291700.0,ns,1748
core,deadpool,pool=08 worker=01,,,33744131.0,ns,1786
core,deadpool,pool=08 worker=01,,,38086330.0,ns,1824
core,deadpool,pool=08 worker=01,,,30066977.0,ns,1862
core,deadpool,pool=08 worker=01,,,33068484.0,ns,1900
core,deadpool,pool=08 worker=01,,,47469879.0,ns,1938
core,deadpool,pool=08 worker=01,,,51167435.0,ns,1976
core,deadpool,pool=08 worker=01,,,55142409.0,ns,2014
core,deadpool,pool=08 worker=01,,,56521704.0,ns,2052
core,deadpool,pool=08 worker=01,,,55543437.0,ns,2090
core,deadpool,pool=08 worker=01,,,40136973.0,ns,2128
core,deadpool,pool=08 worker=01,,,57749289.0,ns,2166
core,deadpool,pool=08 worker=01,,,60912508.0,ns,2204
core,deadpool,pool=08 worker=01,,,39235410.0,ns,2242
core,deadpool,pool=08 worker=01,,,62086888.0,ns,2280
