group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,deadpool,pool=08 worker=64,,,56499446.0,ns,5
core,deadpool,pool=08 worker=64,,,55846117.0,ns,5
core,deadpool,pool=08 worker=64,,,56941467.0,ns,5
core,deadpool,pool=08 worker=64,,,57899209.0,ns,5
core,deadpool,pool=08 worker=64,,,59223470.0,ns,5
core,deadpool,pool=08 worker=64,,,57103373.0,ns,5
core,deadpool,pool=08 worker=64,,,58529249.0,ns,5
core,deadpool,pool=08 worker=64,,,58515862.0,ns,5
core,deadpool,pool=08 worker=64,,,57303906.0,ns,5
core,deadpool,pool=08 worker=64,,,55926943.0,ns,5
core,deadpool,pool=08 worker=64,,,56136753.0,ns,5
core,deadpool,pool=08 worker=64,,,55666331.0,ns,5
core,deadpool,pool=08 worker=64,,,61397393.0,ns,5
core,deadpool,pool=08 worker=64,,,57601319.0,ns,5
core,deadpool,pool=08 worker=64,,,55423321.0,ns,5
core,deadpool,pool=08 worker=64,,,56970690.0,ns,5
core,deadpool,pool=08 worker=64,,,57418711.0,ns,5
core,deadpool,pool=08 worker=64,,,60495151.0,ns,5
core,deadpool,pool=08 worker=64,,,55435021.0,ns,5
core,deadpool,pool=08 worker=64,,,56469068.0,ns,5
core,deadpool,pool=08 worker=64,,,57684623.0,ns,5
core,deadpool,pool=08 worker=64,,,58741971.0,ns,5
core,deadpool,pool=08 worker=64,,,58604366.0,ns,5
core,deadpool,pool=08 worker=64,,,55794537.0,ns,5
core,deadpool,pool=08 worker=64,,,56709779.0,ns,5
core,deadpool,pool=08 worker=64,,,56230157.0,ns,5
core,deadpool,pool=08 worker=64,,,57400110.0,ns,5
core,deadpool,pool=08 worker=64,,,59227293.0,ns,5
core,deadpool,pool=08 worker=64,,,58327252.0,ns,5
core,deadpool,pool=08 worker=64,,,57332008.0,ns,5
core,deadpool,pool=08 worker=64,,,59945526.0,ns,5
core,deadpool,pool=08 worker=64,,,58953581.0,ns,5
core,deadpool,pool=08 worker=64,,,60495852.0,ns,5
core,deadpool,pool=08 worker=64,,,62490342.0,ns,5
core,deadpool,pool=08 worker=64,,,60266440.0,ns,5
core,deadpool,pool=08 worker=64,,,60530352.0,ns,5
core,deadpool,pool=08 worker=64,,,61080678.0,ns,5
core,deadpool,pool=08 worker=64,,,58328153.0,ns,5
core,deadpool,pool=08 worker=64,,,56680878.0,ns,5
core,deadpool,pool=08 worker=64,,,56028348.0,ns,5
core,deadpool,pool=08 worker=64,,,55815538.0,ns,5
core,deadpool,pool=08 worker=64,,,62185829.0,ns,5
core,deadpool,pool=08 worker=64,,,60028230.0,ns,5
core,deadpool,pool=08 worker=64,,,58128644.0,ns,5
core,deadpool,pool=08 worker=64,,,56384064.0,ns,5
core,deadpool,pool=08 worker=64,,,56529271.0,ns,5
core,deadpool,pool=08 worker=64,,,61765409.0,ns,5
core,deadpool,pool=08 worker=64,,,61278187.0,ns,5
core,deadpool,pool=08 worker=64,,,58691069.0,ns,5
core,deadpool,pool=08 worker=64,,,60046831.0,ns,5
core,deadpool,pool=08 worker=64,,,57698824.0,ns,5
core,deadpool,pool=08 worker=64,,,60538853.0,ns,5
core,deadpool,pool=08 worker=64,,,57091896.0,ns,5
core,deadpool,pool=08 worker=64,,,56210857.0,ns,5
core,deadpool,pool=08 worker=64,,,57947935.0,ns,5
core,deadpool,pool=08 worker=64,,,60853568.0,ns,5
core,deadpool,pool=08 worker=64,,,61323089.0,ns,5
core,deadpool,pool=08 worker=64,,,59468605.0,ns,5
core,deadpool,pool=08 worker=64,,,59278296.0,ns,5
core,deadpool,pool=08 worker=64,,,58434658.0,ns,5
core,deadpool,pool=08 worker=64,,,55896342.0,ns,5
core,deadpool,pool=08 worker=64,,,56601774.0,ns,5
core,deadpool,pool=08 worker=64,,,59659014.0,ns,5
core,deadpool,pool=08 worker=64,,,57359209.0,ns,5
core,deadpool,pool=08 worker=64,,,57676823.0,ns,5
core,deadpool,pool=08 worker=64,,,56303460.0,ns,5
