group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,mobc,pool=04 worker=01,,,1223214.0,ns,1
core,mobc,pool=04 worker=01,,,2364027.0,ns,2
core,mobc,pool=04 worker=01,,,3444840.0,ns,3
core,mobc,pool=04 worker=01,,,4863958.0,ns,4
core,mobc,pool=04 worker=01,,,6116772.0,ns,5
core,mobc,pool=04 worker=01,,,7019283.0,ns,6
core,mobc,pool=04 worker=01,,,8410999.0,ns,7
core,mobc,pool=04 worker=01,,,9336110.0,ns,8
core,mobc,pool=04 worker=01,,,10440323.0,ns,9
core,mobc,pool=04 worker=01,,,11786439.0,ns,10
core,mobc,pool=04 worker=01,,,13375158.0,ns,11
core,mobc,pool=04 worker=01,,,19325428.0,ns,12
core,mobc,pool=04 worker=01,,,17696508.0,ns,13
core,mobc,pool=04 worker=01,,,16702297.0,ns,14
core,mobc,pool=04 worker=01,,,17796009.0,ns,15
core,mobc,pool=04 worker=01,,,18958623.0,ns,16
core,mobc,pool=04 worker=01,,,21963959.0,ns,17
core,mobc,pool=04 worker=01,,,20945646.0,ns,18
core,mobc,pool=04 worker=01,,,22428564.0,ns,19
core,mobc,pool=04 worker=01,,,23829280.0,ns,20
core,mobc,pool=04 worker=01,,,25500500.0,ns,21
core,mobc,pool=04 worker=01,,,25789404.0,ns,22
core,mobc,pool=04 worker=01,,,27756427.0,ns,23
core,mobc,pool=04 worker=01,,,28136132.0,ns,24
core,mobc,pool=04 worker=01,,,28193032.0,ns,25
core,mobc,pool=04 worker=01,,,30643261.0,ns,26
core,mobc,pool=04 worker=01,,,31742074.0,ns,27
core,mobc,pool=04 worker=01,,,34222903.0,ns,28
core,mobc,pool=04 worker=01,,,34100902.0,ns,29
core,mobc,pool=04 worker=01,,,37900647.0,ns,30
core,mobc,pool=04 worker=01,,,35973024.0,ns,31
core,mobc,pool=04 worker=01,,,36905934.0,ns,32
core,mobc,pool=04 worker=01,,,39484565.0,ns,33
core,mobc,pool=04 worker=01,,,41022784.0,ns,34
core,mobc,pool=04 worker=01,,,42099296.0,ns,35
core,mobc,pool=04 worker=01,,,42968206.0,ns,36
core,mobc,pool=04 worker=01,,,41314587.0,ns,37
core,mobc,pool=04 worker=01,,,45405835.0,ns,38
core,mobc,pool=04 worker=01,,,45823139.0,ns,39
core,mobc,pool=04 worker=01,,,48402370.0,ns,40
core,mobc,pool=04 worker=01,,,50144291.0,ns,41
core,mobc,pool=04 worker=01,,,51123502.0,ns,42
core,mobc,pool=04 worker=01,,,51443306.0,ns,43
core,mobc,pool=04 worker=01,,,49780986.0,ns,44
core,mobc,pool=04 worker=01,,,53067025.0,ns,45
core,mobc,pool=04 worker=01,,,53086725.0,ns,46
core,mobc,pool=04 worker=01,,,57052972.0,ns,47
core,mobc,pool=04 worker=01,,,58227586.0,ns,48
core,mobc,pool=04 worker=01,,,58449188.0,ns,49
core,mobc,pool=04 worker=01,,,61322022.0,ns,50
