group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,mobc,pool=04 worker=64,,,39763667.0,ns,2
core,mobc,pool=04 worker=64,,,37403740.0,ns,2
core,mobc,pool=04 worker=64,,,37178437.0,ns,2
core,mobc,pool=04 worker=64,,,37886045.0,ns,2
core,mobc,pool=04 worker=64,,,37291038.0,ns,2
core,mobc,pool=04 worker=64,,,37150236.0,ns,2
core,mobc,pool=04 worker=64,,,49545783.0,ns,2
core,mobc,pool=04 worker=64,,,37493241.0,ns,2
core,mobc,pool=04 worker=64,,,38282550.0,ns,2
core,mobc,pool=04 worker=64,,,37078936.0,ns,2
core,mobc,pool=04 worker=64,,,36839133.0,ns,2
core,mobc,pool=04 worker=64,,,37101336.0,ns,2
core,mobc,pool=04 worker=64,,,38590253.0,ns,2
core,mobc,pool=04 worker=64,,,38718055.0,ns,2
core,mobc,pool=04 worker=64,,,37403640.0,ns,2
core,mobc,pool=04 worker=64,,,39365063.0,ns,2
core,mobc,pool=04 worker=64,,,38180848.0,ns,2
core,mobc,pool=04 worker=64,,,38516552.0,ns,2
core,mobc,pool=04 worker=64,,,37259838.0,ns,2
core,mobc,pool=04 worker=64,,,37830944.0,ns,2
core,mobc,pool=04 worker=64,,,37719443.0,ns,2
core,mobc,pool=04 worker=64,,,37366239.0,ns,2
core,mobc,pool=04 worker=64,,,38647754.0,ns,2
core,mobc,pool=04 worker=64,,,37583041.0,ns,2
core,mobc,pool=04 worker=64,,,38345951.0,ns,2
core,mobc,pool=04 worker=64,,,38320150.0,ns,2
core,mobc,pool=04 worker=64,,,37816945.0,ns,2
core,mobc,pool=04 worker=64,,,36296426.0,ns,2
core,mobc,pool=04 worker=64,,,38418751.0,ns,2
core,mobc,pool=04 worker=64,,,36555030.0,ns,2
core,mobc,pool=04 worker=64,,,37656943.0,ns,2
core,mobc,pool=04 worker=64,,,38169748.0,ns,2
core,mobc,pool=04 worker=64,,,38812756.0,ns,2
core,mobc,pool=04 worker=64,,,38277550.0,ns,2
core,mobc,pool=04 worker=64,,,38531352.0,ns,2
core,mobc,pool=04 worker=64,,,37852844.0,ns,2
core,mobc,pool=04 worker=64,,,38162648.0,ns,2
core,mobc,pool=04 worker=64,,,35403316.0,ns,2
core,mobc,pool=04 worker=64,,,36070724.0,ns,2
core,mobc,pool=04 worker=64,,,42175695.0,ns,2
core,mobc,pool=04 worker=64,,,36849433.0,ns,2
core,mobc,pool=04 worker=64,,,40026571.0,ns,2
core,mobc,pool=04 worker=64,,,35578318.0,ns,2
core,mobc,pool=04 worker=64,,,38256649.0,ns,2
core,mobc,pool=04 worker=64,,,37312538.0,ns,2
core,mobc,pool=04 worker=64,,,37282938.0,ns,2
core,mobc,pool=04 worker=64,,,38366951.0,ns,2
core,mobc,pool=04 worker=64,,,39531765.0,ns,2
core,mobc,pool=04 worker=64,,,37389639.0,ns,2
core,mobc,pool=04 worker=64,,,39206861.0,ns,2
