group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,qp,pool=16 worker=64,,,25163599.0,ns,5
core,qp,pool=16 worker=64,,,24192988.0,ns,5
core,qp,pool=16 worker=64,,,23649381.0,ns,5
core,qp,pool=16 worker=64,,,24598793.0,ns,5
core,qp,pool=16 worker=64,,,28300037.0,ns,5
core,qp,pool=16 worker=64,,,23999186.0,ns,5
core,qp,pool=16 worker=64,,,24135687.0,ns,5
core,qp,pool=16 worker=64,,,24346090.0,ns,5
core,qp,pool=16 worker=64,,,25065298.0,ns,5
core,qp,pool=16 worker=64,,,24305990.0,ns,5
core,qp,pool=16 worker=64,,,23902785.0,ns,5
core,qp,pool=16 worker=64,,,24013286.0,ns,5
core,qp,pool=16 worker=64,,,23936485.0,ns,5
core,qp,pool=16 worker=64,,,24156388.0,ns,5
core,qp,pool=16 worker=64,,,24227089.0,ns,5
core,qp,pool=16 worker=64,,,23265677.0,ns,5
core,qp,pool=16 worker=64,,,25058898.0,ns,5
core,qp,pool=16 worker=64,,,23929685.0,ns,5
core,qp,pool=16 worker=64,,,23664882.0,ns,5
core,qp,pool=16 worker=64,,,24022785.0,ns,5
core,qp,pool=16 worker=64,,,25253101.0,ns,5
core,qp,pool=16 worker=64,,,24139387.0,ns,5
core,qp,pool=16 worker=64,,,24716194.0,ns,5
core,qp,pool=16 worker=64,,,23459280.0,ns,5
core,qp,pool=16 worker=64,,,23664181.0,ns,5
core,qp,pool=16 worker=64,,,24681194.0,ns,5
core,qp,pool=16 worker=64,,,24387590.0,ns,5
core,qp,pool=16 worker=64,,,24556792.0,ns,5
core,qp,pool=16 worker=64,,,24797195.0,ns,5
core,qp,pool=16 worker=64,,,23793484.0,ns,5
core,qp,pool=16 worker=64,,,23001874.0,ns,5
core,qp,pool=16 worker=64,,,24250888.0,ns,5
core,qp,pool=16 worker=64,,,24117287.0,ns,5
core,qp,pool=16 worker=64,,,23876785.0,ns,5
core,qp,pool=16 worker=64,,,24226689.0,ns,5
core,qp,pool=16 worker=64,,,24967897.0,ns,5
core,qp,pool=16 worker=64,,,23989085.0,ns,5
core,qp,pool=16 worker=64,,,25228701.0,ns,5
core,qp,pool=16 worker=64,,,24462191.0,ns,5
core,qp,pool=16 worker=64,,,24740695.0,ns,5
core,qp,pool=16 worker=64,,,24331390.0,ns,5
core,qp,pool=16 worker=64,,,24392690.0,ns,5
core,qp,pool=16 worker=64,,,23998786.0,ns,5
core,qp,pool=16 worker=64,,,24393891.0,ns,5
core,qp,pool=16 worker=64,,,24543692.0,ns,5
core,qp,pool=16 worker=64,,,23336277.0,ns,5
core,qp,pool=16 worker=64,,,24445091.0,ns,5
core,qp,pool=16 worker=64,,,24424691.0,ns,5
core,qp,pool=16 worker=64,,,24241789.0,ns,5
core,qp,pool=16 worker=64,,,28719442.0,ns,5
