group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
core,r2d2,pool=04 worker=01,,,3278884.0,ns,8
core,r2d2,pool=04 worker=01,,,6205860.0,ns,16
core,r2d2,pool=04 worker=01,,,9215138.0,ns,24
core,r2d2,pool=04 worker=01,,,12204016.0,ns,32
core,r2d2,pool=04 worker=01,,,15259194.0,ns,40
core,r2d2,pool=04 worker=01,,,18446676.0,ns,48
core,r2d2,pool=04 worker=01,,,21414053.0,ns,56
core,r2d2,pool=04 worker=01,,,24458732.0,ns,64
core,r2d2,pool=04 worker=01,,,27616314.0,ns,72
core,r2d2,pool=04 worker=01,,,31738320.0,ns,80
core,r2d2,pool=04 worker=01,,,35043705.0,ns,88
core,r2d2,pool=04 worker=01,,,39438819.0,ns,96
core,r2d2,pool=04 worker=01,,,40532347.0,ns,104
core,r2d2,pool=04 worker=01,,,47253520.0,ns,112
core,r2d2,pool=04 worker=01,,,47114817.0,ns,120
core,r2d2,pool=04 worker=01,,,55910444.0,ns,128
core,r2d2,pool=04 worker=01,,,59130727.0,ns,136
core,r2d2,pool=04 worker=01,,,56080148.0,ns,144
core,r2d2,pool=04 worker=01,,,60660567.0,ns,152
core,r2d2,pool=04 worker=01,,,63083829.0,ns,160
core,r2d2,pool=04 worker=01,,,85944220.0,ns,168
core,r2d2,pool=04 worker=01,,,69422993.0,ns,176
core,r2d2,pool=04 worker=01,,,82954942.0,ns,184
core,r2d2,pool=04 worker=01,,,87989172.0,ns,192
core,r2d2,pool=04 worker=01,,,91451262.0,ns,200
