group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
loop factorial 20,,,,,952266.0,ns,2306
loop factorial 20,,,,,1977037.0,ns,4612
loop factorial 20,,,,,2973205.0,ns,6918
loop factorial 20,,,,,3959474.0,ns,9224
loop factorial 20,,,,,4965144.0,ns,11530
loop factorial 20,,,,,5932110.0,ns,13836
loop factorial 20,,,,,6925279.0,ns,16142
loop factorial 20,,,,,7927048.0,ns,18448
loop factorial 20,,,,,8903516.0,ns,20754
loop factorial 20,,,,,9945388.0,ns,23060
loop factorial 20,,,,,10991760.0,ns,25366
loop factorial 20,,,,,11994530.0,ns,27672
loop factorial 20,,,,,12885991.0,ns,29978
loop factorial 20,,,,,13846857.0,ns,32284
loop factorial 20,,,,,14847527.0,ns,34590
loop factorial 20,,,,,15867898.0,ns,36896
loop factorial 20,,,,,16840264.0,ns,39202
loop factorial 20,,,,,17869836.0,ns,41508
loop factorial 20,,,,,18870605.0,ns,43814
loop factorial 20,,,,,19789569.0,ns,46120
loop factorial 20,,,,,20789838.0,ns,48426
loop factorial 20,,,,,21785607.0,ns,50732
loop factorial 20,,,,,22769875.0,ns,53038
loop factorial 20,,,,,23766543.0,ns,55344
loop factorial 20,,,,,24814316.0,ns,57650
loop factorial 20,,,,,25717779.0,ns,59956
loop factorial 20,,,,,26769452.0,ns,62262
loop factorial 20,,,,,27733918.0,ns,64568
loop factorial 20,,,,,28716586.0,ns,66874
loop factorial 20,,,,,29740657.0,ns,69180
loop factorial 20,,,,,30685422.0,ns,71486
loop factorial 20,,,,,31669090.0,ns,73792
loop factorial 20,,,,,32529550.0,ns,76098
loop factorial 20,,,,,33659328.0,ns,78404
loop factorial 20,,,,,34567991.0,ns,80710
loop factorial 20,,,,,35663866.0,ns,83016
loop factorial 20,,,,,36570828.0,ns,85322
loop factorial 20,,,,,37721307.0,ns,87628
loop factorial 20,,,,,38550764.0,ns,89934
loop factorial 20,,,,,39689643.0,ns,92240
loop factorial 20,,,,,40569003.0,ns,94546
loop factorial 20,,,,,41665680.0,ns,96852
loop factorial 20,,,,,42591343.0,ns,99158
loop factorial 20,,,,,43352996.0,ns,101464
loop factorial 20,,,,,44542978.0,ns,103770
loop factorial 20,,,,,45525546.0,ns,106076
loop factorial 20,,,,,46448210.0,ns,108382
loop factorial 20,,,,,47444879.0,ns,110688
loop factorial 20,,,,,48615160.0,ns,112994
loop factorial 20,,,,,49435016.0,ns,115300
loop factorial 20,,,,,50497590.0,ns,117606
loop factorial 20,,,,,51466356.0,ns,119912
loop factorial 20,,,,,52256012.0,ns,122218
loop factorial 20,,,,,53436792.0,ns,124524
loop factorial 20,,,,,54444263.0,ns,126830
loop factorial 20,,,,,55482234.0,ns,129136
loop factorial 20,,,,,56333793.0,ns,131442
loop factorial 20,,,,,57518475.0,ns,133748
loop factorial 20,,,,,58146018.0,ns,136054
loop factorial 20,,,,,59425507.0,ns,138360
loop factorial 20,,,,,60407775.0,ns,140666
loop factorial 20,,,,,61101422.0,ns,142972
loop factorial 20,,,,,61680763.0,ns,145278
loop factorial 20,,,,,63258571.0,ns,147584
loop factorial 20,,,,,64466255.0,ns,149890
loop factorial 20,,,,,65390119.0,ns,152196
loop factorial 20,,,,,66413190.0,ns,154502
loop factorial 20,,,,,67149840.0,ns,156808
loop factorial 20,,,,,73721595.0,ns,159114
loop factorial 20,,,,,70829395.0,ns,161420
loop factorial 20,,,,,70316959.0,ns,163726
loop factorial 20,,,,,71353831.0,ns,166032
loop factorial 20,,,,,72289996.0,ns,168338
loop factorial 20,,,,,73340568.0,ns,170644
loop factorial 20,,,,,74063719.0,ns,172950
loop factorial 20,,,,,75471315.0,ns,175256
loop factorial 20,,,,,75859042.0,ns,177562
loop factorial 20,,,,,76960619.0,ns,179868
loop factorial 20,,,,,78230406.0,ns,182174
loop factorial 20,,,,,79063864.0,ns,184480
loop factorial 20,,,,,79776913.0,ns,186786
loop factorial 20,,,,,80871189.0,ns,189092
loop factorial 20,,,,,81771251.0,ns,191398
loop factorial 20,,,,,83135645.0,ns,193704
loop factorial 20,,,,,83981904.0,ns,196010
loop factorial 20,,,,,83946201.0,ns,198316
loop factorial 20,,,,,86278262.0,ns,200622
loop factorial 20,,,,,87145923.0,ns,202928
loop factorial 20,,,,,87595853.0,ns,205234
loop factorial 20,,,,,88887043.0,ns,207540
loop factorial 20,,,,,90123928.0,ns,209846
loop factorial 20,,,,,90566959.0,ns,212152
loop factorial 20,,,,,91593729.0,ns,214458
loop factorial 20,,,,,92998827.0,ns,216764
loop factorial 20,,,,,93547465.0,ns,219070
loop factorial 20,,,,,95101372.0,ns,221376
loop factorial 20,,,,,95903628.0,ns,223682
loop factorial 20,,,,,96791789.0,ns,225988
loop factorial 20,,,,,97933267.0,ns,228294
loop factorial 20,,,,,98479106.0,ns,230600
