group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,deadpool,pool=04 worker=64,,,36236702.0,ns,4
postgres,deadpool,pool=04 worker=64,,,36698979.0,ns,4
postgres,deadpool,pool=04 worker=64,,,32576497.0,ns,4
postgres,deadpool,pool=04 worker=64,,,31728456.0,ns,4
postgres,deadpool,pool=04 worker=64,,,32137123.0,ns,4
postgres,deadpool,pool=04 worker=64,,,33470244.0,ns,4
postgres,deadpool,pool=04 worker=64,,,41507376.0,ns,4
postgres,deadpool,pool=04 worker=64,,,33733688.0,ns,4
postgres,deadpool,pool=04 worker=64,,,36271508.0,ns,4
postgres,deadpool,pool=04 worker=64,,,48633263.0,ns,4
postgres,deadpool,pool=04 worker=64,,,32932353.0,ns,4
postgres,deadpool,pool=04 worker=64,,,38196989.0,ns,4
postgres,deadpool,pool=04 worker=64,,,34043882.0,ns,4
postgres,deadpool,pool=04 worker=64,,,32966754.0,ns,4
postgres,deadpool,pool=04 worker=64,,,30753196.0,ns,4
postgres,deadpool,pool=04 worker=64,,,42311796.0,ns,4
postgres,deadpool,pool=04 worker=64,,,33538168.0,ns,4
postgres,deadpool,pool=04 worker=64,,,32093131.0,ns,4
postgres,deadpool,pool=04 worker=64,,,34439492.0,ns,4
postgres,deadpool,pool=04 worker=64,,,33727774.0,ns,4
postgres,deadpool,pool=04 worker=64,,,48030844.0,ns,4
postgres,deadpool,pool=04 worker=64,,,32823750.0,ns,4
postgres,deadpool,pool=04 worker=64,,,34685698.0,ns,4
postgres,deadpool,pool=04 worker=64,,,33549069.0,ns,4
postgres,deadpool,pool=04 worker=64,,,30885099.0,ns,4
