group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,deadpool,pool=08 worker=64,,,22202601.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19546882.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20179910.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21969491.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19658287.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22805829.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20772137.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24164990.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23682168.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21011148.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23143544.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24591910.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21175356.0,ns,2
postgres,deadpool,pool=08 worker=64,,,29134815.0,ns,2
postgres,deadpool,pool=08 worker=64,,,26479195.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19279470.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23605066.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19607085.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20253514.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23555663.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22075596.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19370774.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22225303.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20169610.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22392510.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24184891.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21393065.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22514616.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24460203.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22855432.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22532617.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20689034.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22501415.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20711535.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20974146.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23004438.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22197801.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21977992.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20913143.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22210702.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20571829.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20759937.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21493670.0,ns,2
postgres,deadpool,pool=08 worker=64,,,25157836.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22072596.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22640222.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21612575.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21226958.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20231713.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24165191.0,ns,2
postgres,deadpool,pool=08 worker=64,,,18763846.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21408366.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21893588.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22739626.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22834230.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22433112.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20958446.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23529461.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19065260.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21347964.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21623475.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22267805.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24427903.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20829940.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21632176.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21938890.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22242903.0,ns,2
postgres,deadpool,pool=08 worker=64,,,63272755.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21973392.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19567183.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19684288.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23850176.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20721235.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24140289.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19613085.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20739436.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24919025.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20468823.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22417811.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20369419.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21282361.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23086242.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22347809.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22626221.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20134608.0,ns,2
postgres,deadpool,pool=08 worker=64,,,23267050.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24907724.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24212692.0,ns,2
postgres,deadpool,pool=08 worker=64,,,27505141.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24734716.0,ns,2
postgres,deadpool,pool=08 worker=64,,,24384400.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20237813.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20464123.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22949336.0,ns,2
postgres,deadpool,pool=08 worker=64,,,20884242.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21692179.0,ns,2
postgres,deadpool,pool=08 worker=64,,,22305307.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21682078.0,ns,2
postgres,deadpool,pool=08 worker=64,,,21527971.0,ns,2
postgres,deadpool,pool=08 worker=64,,,19932000.0,ns,2
