group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,mobc,pool=08 worker=64,,,162566234.0,ns,1
postgres,mobc,pool=08 worker=64,,,165544328.0,ns,1
postgres,mobc,pool=08 worker=64,,,112930166.0,ns,1
postgres,mobc,pool=08 worker=64,,,143727539.0,ns,1
postgres,mobc,pool=08 worker=64,,,208592187.0,ns,1
postgres,mobc,pool=08 worker=64,,,148479589.0,ns,1
postgres,mobc,pool=08 worker=64,,,214172663.0,ns,1
postgres,mobc,pool=08 worker=64,,,187401818.0,ns,1
postgres,mobc,pool=08 worker=64,,,128349353.0,ns,1
postgres,mobc,pool=08 worker=64,,,178224729.0,ns,1
postgres,mobc,pool=08 worker=64,,,206976636.0,ns,1
postgres,mobc,pool=08 worker=64,,,167191780.0,ns,1
postgres,mobc,pool=08 worker=64,,,132110672.0,ns,1
postgres,mobc,pool=08 worker=64,,,145176984.0,ns,1
postgres,mobc,pool=08 worker=64,,,157455072.0,ns,1
postgres,mobc,pool=08 worker=64,,,203531527.0,ns,1
postgres,mobc,pool=08 worker=64,,,185743466.0,ns,1
postgres,mobc,pool=08 worker=64,,,184122714.0,ns,1
postgres,mobc,pool=08 worker=64,,,203521327.0,ns,1
postgres,mobc,pool=08 worker=64,,,159675142.0,ns,1
postgres,mobc,pool=08 worker=64,,,143332126.0,ns,1
postgres,mobc,pool=08 worker=64,,,195366070.0,ns,1
postgres,mobc,pool=08 worker=64,,,160896581.0,ns,1
postgres,mobc,pool=08 worker=64,,,142741429.0,ns,1
postgres,mobc,pool=08 worker=64,,,180123232.0,ns,1
