group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,mobc,pool=16 worker=04,,,17607997.0,ns,1
postgres,mobc,pool=16 worker=04,,,19748936.0,ns,1
postgres,mobc,pool=16 worker=04,,,21595312.0,ns,1
postgres,mobc,pool=16 worker=04,,,11926037.0,ns,1
postgres,mobc,pool=16 worker=04,,,29781285.0,ns,1
postgres,mobc,pool=16 worker=04,,,21813657.0,ns,1
postgres,mobc,pool=16 worker=04,,,21655825.0,ns,1
postgres,mobc,pool=16 worker=04,,,23275556.0,ns,1
postgres,mobc,pool=16 worker=04,,,24229650.0,ns,1
postgres,mobc,pool=16 worker=04,,,23737350.0,ns,1
postgres,mobc,pool=16 worker=04,,,24482503.0,ns,1
postgres,mobc,pool=16 worker=04,,,25464403.0,ns,1
postgres,mobc,pool=16 worker=04,,,22389175.0,ns,1
postgres,mobc,pool=16 worker=04,,,22665832.0,ns,1
postgres,mobc,pool=16 worker=04,,,23752053.0,ns,1
postgres,mobc,pool=16 worker=04,,,22751348.0,ns,1
postgres,mobc,pool=16 worker=04,,,20561552.0,ns,1
postgres,mobc,pool=16 worker=04,,,24101864.0,ns,1
postgres,mobc,pool=16 worker=04,,,23032230.0,ns,1
postgres,mobc,pool=16 worker=04,,,21624286.0,ns,1
postgres,mobc,pool=16 worker=04,,,21970696.0,ns,1
postgres,mobc,pool=16 worker=04,,,22607617.0,ns,1
postgres,mobc,pool=16 worker=04,,,25198099.0,ns,1
postgres,mobc,pool=16 worker=04,,,23669651.0,ns,1
postgres,mobc,pool=16 worker=04,,,21319976.0,ns,1
