group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,qp,pool=16 worker=04,,,1203617.0,ns,1
postgres,qp,pool=16 worker=04,,,1247518.0,ns,1
postgres,qp,pool=16 worker=04,,,1418320.0,ns,1
postgres,qp,pool=16 worker=04,,,1230518.0,ns,1
postgres,qp,pool=16 worker=04,,,1211617.0,ns,1
postgres,qp,pool=16 worker=04,,,1372919.0,ns,1
postgres,qp,pool=16 worker=04,,,1280118.0,ns,1
postgres,qp,pool=16 worker=04,,,1358519.0,ns,1
postgres,qp,pool=16 worker=04,,,1414820.0,ns,1
postgres,qp,pool=16 worker=04,,,1420520.0,ns,1
postgres,qp,pool=16 worker=04,,,1371020.0,ns,1
postgres,qp,pool=16 worker=04,,,1198517.0,ns,1
postgres,qp,pool=16 worker=04,,,1159716.0,ns,1
postgres,qp,pool=16 worker=04,,,1737525.0,ns,1
postgres,qp,pool=16 worker=04,,,1179317.0,ns,1
postgres,qp,pool=16 worker=04,,,1276418.0,ns,1
postgres,qp,pool=16 worker=04,,,1561522.0,ns,1
postgres,qp,pool=16 worker=04,,,1122016.0,ns,1
postgres,qp,pool=16 worker=04,,,1371120.0,ns,1
postgres,qp,pool=16 worker=04,,,1378819.0,ns,1
postgres,qp,pool=16 worker=04,,,1062815.0,ns,1
postgres,qp,pool=16 worker=04,,,1491422.0,ns,1
postgres,qp,pool=16 worker=04,,,1651224.0,ns,1
postgres,qp,pool=16 worker=04,,,1362420.0,ns,1
postgres,qp,pool=16 worker=04,,,1354719.0,ns,1
