group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,qp,pool=16 worker=64,,,10018952.0,ns,1
postgres,qp,pool=16 worker=64,,,11696428.0,ns,1
postgres,qp,pool=16 worker=64,,,10999296.0,ns,1
postgres,qp,pool=16 worker=64,,,12763476.0,ns,1
postgres,qp,pool=16 worker=64,,,12267754.0,ns,1
postgres,qp,pool=16 worker=64,,,13262699.0,ns,1
postgres,qp,pool=16 worker=64,,,10090955.0,ns,1
postgres,qp,pool=16 worker=64,,,12046844.0,ns,1
postgres,qp,pool=16 worker=64,,,11341612.0,ns,1
postgres,qp,pool=16 worker=64,,,11688528.0,ns,1
postgres,qp,pool=16 worker=64,,,11171805.0,ns,1
postgres,qp,pool=16 worker=64,,,13091491.0,ns,1
postgres,qp,pool=16 worker=64,,,10754186.0,ns,1
postgres,qp,pool=16 worker=64,,,10421170.0,ns,1
postgres,qp,pool=16 worker=64,,,10899292.0,ns,1
postgres,qp,pool=16 worker=64,,,11381214.0,ns,1
postgres,qp,pool=16 worker=64,,,9651835.0,ns,1
postgres,qp,pool=16 worker=64,,,10170859.0,ns,1
postgres,qp,pool=16 worker=64,,,11201906.0,ns,1
postgres,qp,pool=16 worker=64,,,10319466.0,ns,1
postgres,qp,pool=16 worker=64,,,13396705.0,ns,1
postgres,qp,pool=16 worker=64,,,13897327.0,ns,1
postgres,qp,pool=16 worker=64,,,12847680.0,ns,1
postgres,qp,pool=16 worker=64,,,12584168.0,ns,1
postgres,qp,pool=16 worker=64,,,12097646.0,ns,1
postgres,qp,pool=16 worker=64,,,10470173.0,ns,1
postgres,qp,pool=16 worker=64,,,10938499.0,ns,1
postgres,qp,pool=16 worker=64,,,11322816.0,ns,1
postgres,qp,pool=16 worker=64,,,10276369.0,ns,1
postgres,qp,pool=16 worker=64,,,13201402.0,ns,1
postgres,qp,pool=16 worker=64,,,12923889.0,ns,1
postgres,qp,pool=16 worker=64,,,12080151.0,ns,1
postgres,qp,pool=16 worker=64,,,12143153.0,ns,1
postgres,qp,pool=16 worker=64,,,11643731.0,ns,1
postgres,qp,pool=16 worker=64,,,13342309.0,ns,1
postgres,qp,pool=16 worker=64,,,11583129.0,ns,1
postgres,qp,pool=16 worker=64,,,12146254.0,ns,1
postgres,qp,pool=16 worker=64,,,10400975.0,ns,1
postgres,qp,pool=16 worker=64,,,10087660.0,ns,1
postgres,qp,pool=16 worker=64,,,10473778.0,ns,1
postgres,qp,pool=16 worker=64,,,9550736.0,ns,1
postgres,qp,pool=16 worker=64,,,9361227.0,ns,1
postgres,qp,pool=16 worker=64,,,10183064.0,ns,1
postgres,qp,pool=16 worker=64,,,12943090.0,ns,1
postgres,qp,pool=16 worker=64,,,10185765.0,ns,1
postgres,qp,pool=16 worker=64,,,15747118.0,ns,1
postgres,qp,pool=16 worker=64,,,11270314.0,ns,1
postgres,qp,pool=16 worker=64,,,12681378.0,ns,1
postgres,qp,pool=16 worker=64,,,9728744.0,ns,1
postgres,qp,pool=16 worker=64,,,12313462.0,ns,1
postgres,qp,pool=16 worker=64,,,11252813.0,ns,1
postgres,qp,pool=16 worker=64,,,12947590.0,ns,1
postgres,qp,pool=16 worker=64,,,12433468.0,ns,1
postgres,qp,pool=16 worker=64,,,9492433.0,ns,1
postgres,qp,pool=16 worker=64,,,12880887.0,ns,1
postgres,qp,pool=16 worker=64,,,12543772.0,ns,1
postgres,qp,pool=16 worker=64,,,9839249.0,ns,1
postgres,qp,pool=16 worker=64,,,12009248.0,ns,1
postgres,qp,pool=16 worker=64,,,10267269.0,ns,1
postgres,qp,pool=16 worker=64,,,9587037.0,ns,1
postgres,qp,pool=16 worker=64,,,9124216.0,ns,1
postgres,qp,pool=16 worker=64,,,10534080.0,ns,1
postgres,qp,pool=16 worker=64,,,14062641.0,ns,1
postgres,qp,pool=16 worker=64,,,12037049.0,ns,1
postgres,qp,pool=16 worker=64,,,10872096.0,ns,1
postgres,qp,pool=16 worker=64,,,10883596.0,ns,1
postgres,qp,pool=16 worker=64,,,12339863.0,ns,1
postgres,qp,pool=16 worker=64,,,9386829.0,ns,1
postgres,qp,pool=16 worker=64,,,15424904.0,ns,1
postgres,qp,pool=16 worker=64,,,14481461.0,ns,1
postgres,qp,pool=16 worker=64,,,12400566.0,ns,1
postgres,qp,pool=16 worker=64,,,11481524.0,ns,1
postgres,qp,pool=16 worker=64,,,12741981.0,ns,1
postgres,qp,pool=16 worker=64,,,11419021.0,ns,1
postgres,qp,pool=16 worker=64,,,9739044.0,ns,1
postgres,qp,pool=16 worker=64,,,11460623.0,ns,1
postgres,qp,pool=16 worker=64,,,10042665.0,ns,1
postgres,qp,pool=16 worker=64,,,17243997.0,ns,1
postgres,qp,pool=16 worker=64,,,13542926.0,ns,1
postgres,qp,pool=16 worker=64,,,12989801.0,ns,1
