group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,r2d2,pool=08 worker=01,,,2229954.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2092844.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2092844.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2271456.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2098545.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2223753.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2189151.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2069243.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2138448.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2146049.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2200651.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2186351.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2115946.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2105946.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2152349.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2250255.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2074343.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2119547.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2146648.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2244255.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2078744.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2138648.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2141448.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2170450.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2110346.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2084744.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2136748.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2176050.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2090745.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2105845.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2243455.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2181651.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2203053.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2056443.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2180251.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2098845.0,ns,3
postgres,r2d2,pool=08 worker=01,,,2080344.0,ns,3
