group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,r2d2,pool=16 worker=04,,,3920255.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3369648.0,ns,2
postgres,r2d2,pool=16 worker=04,,,2936142.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3559850.0,ns,2
postgres,r2d2,pool=16 worker=04,,,2908841.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3462350.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3386248.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3064244.0,ns,2
postgres,r2d2,pool=16 worker=04,,,2991942.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3200645.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3090744.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3173445.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3354047.0,ns,2
postgres,r2d2,pool=16 worker=04,,,2959142.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3234446.0,ns,2
postgres,r2d2,pool=16 worker=04,,,2875041.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3242746.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3356348.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3013243.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3139944.0,ns,2
postgres,r2d2,pool=16 worker=04,,,2975342.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3124645.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3311647.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3170145.0,ns,2
postgres,r2d2,pool=16 worker=04,,,3082244.0,ns,2
