group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,sqlx,pool=16 worker=04,,,2334305.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1814382.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2745123.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2053993.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2987835.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1979689.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1771080.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1886585.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1760279.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1908587.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2859329.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1975589.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1970888.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1783081.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2413909.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1767980.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2013891.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1977789.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2056393.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2254202.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1992490.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1952488.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2013291.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1957589.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1817882.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1958689.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2156798.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2156897.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2635220.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2116796.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2857830.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1972289.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1867785.0,ns,1
postgres,sqlx,pool=16 worker=04,,,1870985.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2050693.0,ns,1
postgres,sqlx,pool=16 worker=04,,,2007691.0,ns,1
postgres,sqlx,pool=16 worker=04,,,3199946.0,ns,1
