group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
postgres,sqlx,pool=16 worker=64,,,14018545.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12455539.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13395403.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12109917.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13275295.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13375901.0,ns,1
postgres,sqlx,pool=16 worker=64,,,16278598.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12554146.0,ns,1
postgres,sqlx,pool=16 worker=64,,,15558649.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13198589.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12729758.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12316330.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13220991.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13357500.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12500942.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13006798.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12177040.0,ns,1
postgres,sqlx,pool=16 worker=64,,,14593728.0,ns,1
postgres,sqlx,pool=16 worker=64,,,15114926.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13676532.0,ns,1
postgres,sqlx,pool=16 worker=64,,,14016431.0,ns,1
postgres,sqlx,pool=16 worker=64,,,15588523.0,ns,1
postgres,sqlx,pool=16 worker=64,,,16409020.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13754233.0,ns,1
postgres,sqlx,pool=16 worker=64,,,14047870.0,ns,1
postgres,sqlx,pool=16 worker=64,,,18515878.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13213811.0,ns,1
postgres,sqlx,pool=16 worker=64,,,12957094.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13956363.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13072802.0,ns,1
postgres,sqlx,pool=16 worker=64,,,14286585.0,ns,1
postgres,sqlx,pool=16 worker=64,,,14492900.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13785252.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13247914.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13184710.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13401125.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13156308.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13029199.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13627240.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13420426.0,ns,1
postgres,sqlx,pool=16 worker=64,,,13095104.0,ns,1
